Density: 0.14, dimension: 100
Density: 0.16, dimension: 200
Density: 0.19, dimension: 300
Density: 0.21, dimension: 400
Density: 0.23, dimension: 500
Density: 0.24, dimension: 600
Density: 0.26, dimension: 700
Density: 0.27, dimension: 800
Density: 0.29, dimension: 900
Density: 0.30, dimension: 1000
Density: 0.31, dimension: 1100
Density: 0.32, dimension: 1200
Density: 0.33, dimension: 1300
Density: 0.34, dimension: 1400
Density: 0.35, dimension: 1500
Density: 0.36, dimension: 1600
Density: 0.37, dimension: 1700
Density: 0.38, dimension: 1800
Density: 0.39, dimension: 1900
Density: 0.40, dimension: 2000
Density: 0.41, dimension: 2100
Density: 0.41, dimension: 2200
Density: 0.42, dimension: 2300
Density: 0.43, dimension: 2400
Density: 0.44, dimension: 2500
Density: 0.44, dimension: 2600
Density: 0.45, dimension: 2700
Density: 0.46, dimension: 2800
Density: 0.46, dimension: 2900
Density: 0.47, dimension: 3000
Density: 0.47, dimension: 3100
Density: 0.48, dimension: 3200
Density: 0.49, dimension: 3300
Density: 0.49, dimension: 3400
Density: 0.50, dimension: 3500
Density: 0.50, dimension: 3600
Density: 0.51, dimension: 3700
Density: 0.51, dimension: 3800
Density: 0.52, dimension: 3900
Density: 0.52, dimension: 4000
Density: 0.53, dimension: 4100
Density: 0.53, dimension: 4200
Density: 0.54, dimension: 4300
Density: 0.54, dimension: 4400
Density: 0.55, dimension: 4500
Density: 0.55, dimension: 4600
Density: 0.56, dimension: 4700
Density: 0.56, dimension: 4800
Density: 0.56, dimension: 4900
Density: 0.57, dimension: 5000
Density: 0.57, dimension: 5100
Density: 0.58, dimension: 5200
Density: 0.58, dimension: 5300
Density: 0.58, dimension: 5400
Density: 0.59, dimension: 5500
Density: 0.59, dimension: 5600
Density: 0.59, dimension: 5700
Density: 0.60, dimension: 5800
Density: 0.60, dimension: 5900
Density: 0.60, dimension: 6000
Density: 0.61, dimension: 6100
Density: 0.61, dimension: 6200
Density: 0.61, dimension: 6300
Density: 0.62, dimension: 6400
Density: 0.62, dimension: 6500
Density: 0.62, dimension: 6600
Density: 0.63, dimension: 6700
Density: 0.63, dimension: 6800
Density: 0.63, dimension: 6900
Density: 0.64, dimension: 7000
Density: 0.64, dimension: 7100
Density: 0.64, dimension: 7200
Density: 0.65, dimension: 7300
Density: 0.65, dimension: 7400
Density: 0.65, dimension: 7500
Density: 0.65, dimension: 7600
Density: 0.66, dimension: 7700
Density: 0.66, dimension: 7800
Density: 0.66, dimension: 7900
Density: 0.66, dimension: 8000
Density: 0.67, dimension: 8100
Density: 0.67, dimension: 8200
Density: 0.67, dimension: 8300
Density: 0.67, dimension: 8400
Density: 0.68, dimension: 8500
Density: 0.68, dimension: 8600
Density: 0.68, dimension: 8700
Density: 0.68, dimension: 8800
Density: 0.69, dimension: 8900
Density: 0.69, dimension: 9000
Density: 0.69, dimension: 9100
Density: 0.69, dimension: 9200
Density: 0.69, dimension: 9300
Density: 0.70, dimension: 9400
Density: 0.70, dimension: 9500
Density: 0.70, dimension: 9600
Density: 0.70, dimension: 9700
Density: 0.70, dimension: 9800
Density: 0.71, dimension: 9900
Density: 0.71, dimension: 10000
Density: 0.71, dimension: 10100
Density: 0.71, dimension: 10200
Density: 0.71, dimension: 10300
Density: 0.72, dimension: 10400
Density: 0.72, dimension: 10500
Density: 0.72, dimension: 10600
Density: 0.72, dimension: 10700
Density: 0.72, dimension: 10800
Density: 0.72, dimension: 10900
Density: 0.73, dimension: 11000
Density: 0.73, dimension: 11100
Density: 0.73, dimension: 11200
Density: 0.73, dimension: 11300
Density: 0.73, dimension: 11400
Density: 0.73, dimension: 11500
Density: 0.74, dimension: 11600
Density: 0.74, dimension: 11700
Density: 0.74, dimension: 11800
Density: 0.74, dimension: 11900
Density: 0.74, dimension: 12000
Density: 0.74, dimension: 12100
Density: 0.75, dimension: 12200
Density: 0.75, dimension: 12300
Density: 0.75, dimension: 12400
Density: 0.75, dimension: 12500
Density: 0.75, dimension: 12600
Density: 0.75, dimension: 12700
Density: 0.75, dimension: 12800
Density: 0.76, dimension: 12900
Density: 0.76, dimension: 13000
Density: 0.76, dimension: 13100
Density: 0.76, dimension: 13200
Density: 0.76, dimension: 13300
Density: 0.76, dimension: 13400
Density: 0.76, dimension: 13500
Density: 0.76, dimension: 13600
Density: 0.77, dimension: 13700
Density: 0.77, dimension: 13800
Density: 0.77, dimension: 13900
Density: 0.77, dimension: 14000
Density: 0.77, dimension: 14100
Density: 0.77, dimension: 14200
Density: 0.77, dimension: 14300
Density: 0.77, dimension: 14400
Density: 0.78, dimension: 14500
Density: 0.78, dimension: 14600
Density: 0.78, dimension: 14700
Density: 0.78, dimension: 14800
Density: 0.78, dimension: 14900
Density: 0.78, dimension: 15000
Density: 0.78, dimension: 15100
Density: 0.78, dimension: 15200
Density: 0.78, dimension: 15300
Density: 0.79, dimension: 15400
Density: 0.79, dimension: 15500
Density: 0.79, dimension: 15600
Density: 0.79, dimension: 15700
Density: 0.79, dimension: 15800
Density: 0.79, dimension: 15900
Density: 0.79, dimension: 16000
Density: 0.79, dimension: 16100
Density: 0.79, dimension: 16200
Density: 0.80, dimension: 16300
Density: 0.80, dimension: 16400
Density: 0.80, dimension: 16500
Density: 0.80, dimension: 16600
Density: 0.80, dimension: 16700
Density: 0.80, dimension: 16800
Density: 0.80, dimension: 16900
Density: 0.80, dimension: 17000
Density: 0.80, dimension: 17100
Density: 0.80, dimension: 17200
Density: 0.80, dimension: 17300
Density: 0.81, dimension: 17400
Density: 0.81, dimension: 17500
Density: 0.81, dimension: 17600
Density: 0.81, dimension: 17700
Density: 0.81, dimension: 17800
Density: 0.81, dimension: 17900
Density: 0.81, dimension: 18000
Density: 0.81, dimension: 18100
Density: 0.81, dimension: 18200
Density: 0.81, dimension: 18300
Density: 0.81, dimension: 18400
Density: 0.81, dimension: 18500
Density: 0.82, dimension: 18600
Density: 0.82, dimension: 18700
Density: 0.82, dimension: 18800
Density: 0.82, dimension: 18900
Density: 0.82, dimension: 19000
Density: 0.82, dimension: 19100
Density: 0.82, dimension: 19200
Density: 0.82, dimension: 19300
Density: 0.82, dimension: 19400
Density: 0.82, dimension: 19500
Density: 0.82, dimension: 19600
Density: 0.82, dimension: 19700
Density: 0.82, dimension: 19800
Density: 0.83, dimension: 19900
Density: 0.83, dimension: 20000
Density: 0.83, dimension: 20100
Density: 0.83, dimension: 20200
Density: 0.83, dimension: 20300
Density: 0.83, dimension: 20400
Density: 0.83, dimension: 20500
Density: 0.83, dimension: 20600
Density: 0.83, dimension: 20700
Density: 0.83, dimension: 20800
Density: 0.83, dimension: 20900
Density: 0.83, dimension: 21000
Density: 0.83, dimension: 21100
Density: 0.83, dimension: 21200
Density: 0.83, dimension: 21300
Density: 0.84, dimension: 21400
Density: 0.84, dimension: 21500
Density: 0.84, dimension: 21600
Density: 0.84, dimension: 21700
Density: 0.84, dimension: 21800
Density: 0.84, dimension: 21900
Density: 0.84, dimension: 22000
Density: 0.84, dimension: 22100
Density: 0.84, dimension: 22200
Density: 0.84, dimension: 22300
Density: 0.84, dimension: 22400
Density: 0.84, dimension: 22500
Density: 0.84, dimension: 22600
Density: 0.84, dimension: 22700
Density: 0.84, dimension: 22800
Density: 0.84, dimension: 22900
Density: 0.84, dimension: 23000
Density: 0.85, dimension: 23100
Density: 0.85, dimension: 23200
Density: 0.85, dimension: 23300
Density: 0.85, dimension: 23400
Density: 0.85, dimension: 23500
Density: 0.85, dimension: 23600
Density: 0.85, dimension: 23700
Density: 0.85, dimension: 23800
Density: 0.85, dimension: 23900
Density: 0.85, dimension: 24000
Density: 0.85, dimension: 24100
Density: 0.85, dimension: 24200
Density: 0.85, dimension: 24300
Density: 0.85, dimension: 24400
Density: 0.85, dimension: 24500
Density: 0.85, dimension: 24600
Density: 0.85, dimension: 24700
Density: 0.85, dimension: 24800
Density: 0.85, dimension: 24900
Density: 0.85, dimension: 25000
Density: 0.86, dimension: 25100
Density: 0.86, dimension: 25200
Density: 0.86, dimension: 25300
Density: 0.86, dimension: 25400
Density: 0.86, dimension: 25500
Density: 0.86, dimension: 25600
Density: 0.86, dimension: 25700
Density: 0.86, dimension: 25800
Density: 0.86, dimension: 25900
Density: 0.86, dimension: 26000
Density: 0.86, dimension: 26100
Density: 0.86, dimension: 26200
Density: 0.86, dimension: 26300
Density: 0.86, dimension: 26400
Density: 0.86, dimension: 26500
Density: 0.86, dimension: 26600
Density: 0.86, dimension: 26700
Density: 0.86, dimension: 26800
Density: 0.86, dimension: 26900
Density: 0.86, dimension: 27000
Density: 0.86, dimension: 27100
Density: 0.86, dimension: 27200
Density: 0.87, dimension: 27300
Density: 0.87, dimension: 27400
Density: 0.87, dimension: 27500
Density: 0.87, dimension: 27600
Density: 0.87, dimension: 27700
Density: 0.87, dimension: 27800
Density: 0.87, dimension: 27900
Density: 0.87, dimension: 28000
Density: 0.87, dimension: 28100
Density: 0.87, dimension: 28200
Density: 0.87, dimension: 28300
Density: 0.87, dimension: 28400
Density: 0.87, dimension: 28500
Density: 0.87, dimension: 28600
Density: 0.87, dimension: 28700
Density: 0.87, dimension: 28800
Density: 0.87, dimension: 28900
Density: 0.87, dimension: 29000
Density: 0.87, dimension: 29100
Density: 0.87, dimension: 29200
Density: 0.87, dimension: 29300
Density: 0.87, dimension: 29400
Density: 0.87, dimension: 29500
Density: 0.87, dimension: 29600
Density: 0.87, dimension: 29700
Density: 0.87, dimension: 29800
Density: 0.87, dimension: 29900
Density: 0.88, dimension: 30000
Density: 0.88, dimension: 30100
Density: 0.88, dimension: 30200
Density: 0.88, dimension: 30300
Density: 0.88, dimension: 30400
Density: 0.88, dimension: 30500
Density: 0.88, dimension: 30600
Density: 0.88, dimension: 30700
Density: 0.88, dimension: 30800
Density: 0.88, dimension: 30900
Density: 0.88, dimension: 31000
Density: 0.88, dimension: 31100
Density: 0.88, dimension: 31200
Density: 0.88, dimension: 31300
Density: 0.88, dimension: 31400
Density: 0.88, dimension: 31500
Density: 0.88, dimension: 31600
Density: 0.88, dimension: 31700
Density: 0.88, dimension: 31800
Density: 0.88, dimension: 31900
Density: 0.88, dimension: 32000
Density: 0.88, dimension: 32100
Density: 0.88, dimension: 32200
